 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling,
"PaperPlateRound5-13/16PK1000","B006PU2H5U","https://www.amazon.com/dp/B006PU2H5U","N/A","","https://www.zoro.com/i/G5392536","","1","40.01","5","","","3.2007999999999996","69.48","Amazon","26.12","8.34","69.48","84.07","3,799","-1.6499999999999986","16.130000000000003","DISHWARE_PLATE","Login to SC",
"Breathesmart-HEPA-OdorCell replacement filter","B00BWSWP5W","https://www.amazon.com/dp/B00BWSWP5W","893127001568","","https://www.walmart.com/ip/37284356?selected=true","","1","119","0.00","","","9.52","109","Amazon","26.91","16.35","109","109","15,218","-36.91","-26.349999999999994","HOME","Login to SC",
"Apple AirPods with Wireless Charging Case (Latest Model)","B07PYLT6DN","https://www.amazon.com/dp/B07PYLT6DN","190198764690","","https://www.walmart.com/ip/482532021?selected=true","","1","159.98","0.00","","","12.798399999999999","159.98","Amazon","23.55","19.8","159.98","191.92","7","-23.55000000000001","-19.80000000000001","HEADPHONES","Login to SC",
"Apple Pencil (2nd Generation)","B07K1WWBJK","https://www.amazon.com/dp/B07K1WWBJK","190198893277","","https://www.walmart.com/ip/949679706?selected=true","","1","124.98","0.00","","","9.9984","124.98","Amazon","20.58","17","124.98","138.42","2","-20.58","-17","INPUT_PEN","Login to SC",
"eufy boostiq robovac 11s (slim) robot vacuum cleaner super-thin 1300pa strong suction quiet self-charging robotic vacuum cleaner cleans hard floors to medium-pile carpets","B079QYYGF1","https://www.amazon.com/dp/B079QYYGF1","848061065329","","https://www.walmart.com/ip/569073620?selected=true","","1","159.99","0.00","","","12.7992","197.99","Amazon","37.29","29.7","197.99","210.67","619","0.710000000000008","8.300000000000011","ROBOTIC_VACUUM_CLEANER","Login to SC",
"Bissell 3624 Spot Clean Pro Portable Deep Cleaner","B008DBRFBK","https://www.amazon.com/dp/B008DBRFBK","N/A","","https://www.overstock.com/Home-Garden/Bissell-3624-Spot-Clean-Pro-Portable-Deep-Cleaner/7110256/product.html","","1","159.99","0.00","","","12.7992","159.99","Amazon","42.16","24","159.99","270","133","-42.16","-24","VACUUM_CLEANER","Login to SC",
"Medium Duty 2300 psi 1.7 gpm Cold Water Electric Pressure Washer","B00CPGMUXW","https://www.amazon.com/dp/B00CPGMUXW","N/A","","https://www.zoro.com/i/G0547981","","1","155","0.00","","","12.4","145.94","Amazon","50.93","21.75","145.94","145","112","-59.99000000000001","-30.810000000000002","PRESSURE_WASHER","Login to SC",
"Black & Decker/dewalt 20V 2 Tool Combo Kit","B00IJ0ALYS","https://www.amazon.com/dp/B00IJ0ALYS","885911343046","","https://www.walmart.com/ip/46650765?selected=true","","1","178.8","0.00","","","14.304","149","Amazon","25.77","17.88","149","173.03","352","-55.57000000000001","-47.68000000000001","SCREEN_PROTECTOR","Login to SC",
"Navigator Lift-Away Deluxe Bagless Vacuum Cleaner","B00JH98GR4","https://www.amazon.com/dp/B00JH98GR4","622356533225","","https://www.homedepot.com/p/Shark-Navigator-Lift-Away-Deluxe-Bagless-Vacuum-Cleaner-NV360/206430263","","1","169.99","0.00","","","13.599200000000002","169.99","Amazon","45.94","25.5","169.99","264","1,042","-45.94","-25.5","VACUUM_CLEANER","Login to SC",
"Cosori CP158-AF Air Fryer 5.8QT","B07GJBBGHG","https://www.amazon.com/dp/B07GJBBGHG","817915024140","","https://www.walmart.com/ip/498451888?selected=true","","1","122.98","0.00","","","9.8384","89.95","Amazon","36.16","18","119.99","155","55","-69.19","-51.03","AIR_FRYER","Login to SC",
