Identifier,Amazon Title,Amazon URL,Amazon Image,Amazon Category,Brand,Variations,ASIN,Amazon UPC/EAN,Buy Box,Amazon Sells and In Stock,Average Price (30 days),Average Price (90 days),Amazon Return After Fees,New Sellers,Weight (lbs),Product Size,Sales Rank,Average Rank (30 Days),Average Rank (90 Days),Estimated Monthly Sales,Reviews,Rating,Last Update,Note,Buy Box Price,Average Amazon Sale Price,Average New Sale Price,Lowest Sale Price,Average New Sale Price (Amazon is OOS),Length,Width,Height,WeightUnits,SizeUnits,Amazon In Stock (30 days)
,"Lime-A-Way Professional Strength Cleaning Destroys Lime, Calcium, Rust, Hard water Build up, Thick Gel Formula,  Lime Away, 16 oz, 2 Pack",https://amazon.com/dp/B00IZGGKDW/,https://m.media-amazon.com/images/I/417-1vv3vFL.jpg,Industrial & Scientific,,1,B00IZGGKDW,6.09224E+11,MF,out of stock,,,$0.39 ,17,2.4,Large Standard-Size,3169,2900,2831,634,467,4.6,2021-07-03T17:57:48.000000Z,,$7.76 ,,$11.47 ,$3.50 ,,740,460,230,hundredths-pounds,hundredths-inches,0
,NBA 2K21 - PlayStation 4,https://amazon.com/dp/B08BXHGPVB/,https://m.media-amazon.com/images/I/51Uwh1cqTrL.jpg,Video Games,2k,18,B08BXHGPVB,7.10426E+11,AMZ,yes,,,$6.53 ,76,0.18,Small Standard-Size,42,661,378,587,7558,4.7,2021-07-03T05:54:02.000000Z,,$12.99 ,$40.06 ,$38.22 ,$9.99 ,$32.45 ,677,535,63,hundredths-pounds,hundredths-inches,40
,"3M Dual Lock Reclosable Fastener SJ3560 250 Clear, 1 in x 4 Ft",https://amazon.com/dp/B07QNMBB28/,https://m.media-amazon.com/images/I/41nCHhAN8WL.jpg,Industrial & Scientific,3 M,1,B07QNMBB28,6.89355E+11,MF,out of stock,,,$6.29 ,9,0.15,Large Standard-Size,1152,1057,1584,1432,1506,4.7,2021-07-02T23:25:09.000000Z,,$11.50 ,,$13.16 ,$1.00 ,,475,340,100,hundredths-pounds,hundredths-inches,0
,"AdTech Mini Hi-Temp Hot Glue Combo Pack, White Gun (1 Pack)",https://amazon.com/dp/B01FIJPPN4/,https://m.media-amazon.com/images/I/21hzoTWUGDL.jpg,"Arts, Crafts & Sewing",Adtech,1,B01FIJPPN4,26438546071,AMZ,yes,,,$1.80 ,2,0.42,Large Standard-Size,714,569,729,973,8491,4.6,2021-07-02T05:25:24.000000Z,,$6.43 ,$8.12 ,$8.33 ,$1.00 ,$11.59 ,811,594,173,hundredths-pounds,hundredths-inches,
,AeroGarden Harvest Elite - Stainless Steel,https://amazon.com/dp/B07CKVMXHR/,https://m.media-amazon.com/images/I/51FKmL-A6PL.jpg,"Patio, Lawn & Garden",Aerogarden,4,B07CKVMXHR,8.10705E+11,AMZ,yes,,,$102.66 ,7,6.04,Large Standard-Size,3217,3231,2773,1384,2690,4.6,2021-07-02T14:29:28.000000Z,,$129.97 ,$157.00 ,$152.58 ,$12.00 ,$160.55 ,1209,1201,800,hundredths-pounds,hundredths-inches,57
,"Air Venturi Steel BBS.177 Cal, 5.1 Grains, Zinc-Plated, 2,500ct",https://amazon.com/dp/B00ZFY5IDK/,https://m.media-amazon.com/images/I/41-EmVJDnuL.jpg,Sports & Outdoors,Air Venturi,1,B00ZFY5IDK,,AMZ,yes,,,$3.53 ,3,2,Large Standard-Size,6548,7359,7662,879,0,0,2021-07-01T06:52:02.000000Z,,$9.99 ,$13.71 ,$13.04 ,$2.99 ,$7.99 ,400,240,240,hundredths-pounds,hundredths-inches,
,"Air Wick Scented Oil Warmer Plugin Air Freshener, White, 2 ct (Pack of 2)",https://amazon.com/dp/B01GEMF62Y/,https://m.media-amazon.com/images/I/41XRstpfk5L.jpg,Health & Household,Air Wick,1,B01GEMF62Y,7.12396E+11,FBA,out of stock,,,$2.83 ,2,0.51,Large Standard-Size,2249,5452,8248,2813,4999,4.7,2021-07-03T05:55:46.000000Z,,$7.68 ,$7.80 ,$7.85 ,$2.49 ,,618,610,390,hundredths-pounds,hundredths-inches,11
,"Air Wick Botanica Plug in Scented Essential Oil, Fresh Pineapple and Tunisian Rosemary, Air Freshener, Eco Friendly, Brown, 10 Count",https://amazon.com/dp/B084QR9VH2/,https://m.media-amazon.com/images/I/51z1FAQTlFL.jpg,Health & Household,Air Wick,1,B084QR9VH2,62338019482,AMZ,yes,,,$11.83 ,7,2.34,Large Standard-Size,18502,18978,18945,683,839,4.7,2021-07-03T19:00:00.000000Z,,$21.18 ,$25.11 ,$24.94 ,$3.67 ,,941,933,543,hundredths-pounds,hundredths-inches,
,"Air Wick Freshmatic 6 Refills Automatic Spray, Apple Cinnamon Medley, 5.89 Ounce (Pack of 6)",https://amazon.com/dp/B0040ZOPN4/,https://m.media-amazon.com/images/I/51ynUAFffwL.jpg,Industrial & Scientific,Air Wick,7,B0040ZOPN4,62338782836,AMZ,yes,,,$24.18 ,12,3.46,Large Standard-Size,1985,1609,2091,856,1316,4.7,2021-07-03T18:35:19.000000Z,,$36.13 ,$41.94 ,$34.47 ,$7.98 ,$36.66 ,840,590,570,hundredths-pounds,hundredths-inches,
,"Alba Botanica Hawaiian Body Scrub, Revitalizing Sea Salt, 14.5 Oz",https://amazon.com/dp/B000NCTQV4/,https://m.media-amazon.com/images/I/51EAQAvX5CL.jpg,Beauty & Personal Care,Alba Botanica,1,B000NCTQV4,7.24742E+11,AMZ,yes,,,$4.34 ,25,1.1,Large Standard-Size,13293,16752,17922,556,1304,4.2,2021-07-02T19:14:07.000000Z,,$10.95 ,$10.33 ,$9.95 ,$3.91 ,$12.55 ,465,449,291,hundredths-pounds,hundredths-inches,
